type,lot,chemin,loc,sha256,symboles,statut
perimetre,1,apps/backend/alembic/versions/040_agent_providers.py,93,83a6e5b7ea707f31d16e0b404a58359369dc078b94e562e16b4bbeda53462e4b,2,verifie
perimetre,1,apps/backend/alembic/versions/042_agent_sessions.py,105,1dff99059aad68e2812f9f6d401d5b2363dedbce314a4d147619195e7f461e76,2,verifie
perimetre,1,apps/backend/alembic/versions/045_agent_message_usage.py,37,c3b87831c546d1680578ac7dbd49b51a1880d487ca7fcef4db2cfd539e3f5ca9,2,verifie
perimetre,1,apps/backend/alembic/versions/046_agent_discovery_quota.py,44,5470dadfe049107986a78dbd85610846a1c94f92ba431768fd3777ac27e8eca3,2,verifie
perimetre,1,apps/backend/alembic/versions/047_agent_session_model_override.py,32,a797325e76b6cc3f2f9d41f6808055d697ddef7aab6dcd2741734aba0d66b096,2,verifie
perimetre,1,apps/backend/alembic/versions/049_agent_session_agent_slug.py,34,eca33dc2285787935ebc7cc7530c0b2e3a42046859d6735172f1e31c106d23d2,2,verifie
perimetre,1,apps/backend/alembic/versions/051_mode_gratuit.py,120,0b6bbbc98ab83dea278e0d692d25f3e6505d9d34241907b43a2b0bf0d0d7b836,2,verifie
perimetre,1,apps/backend/alembic/versions/052_lane_zai_secours.py,72,56f876c2074a73460be3cfafc7d6660864283be0d00f35132e25047bad8fc91d,2,verifie
interface,0,apps/backend/app/agent_tools/__init__.py,14,be77adc57ad9f22f88ac9be3d8fd5f85f480714626c579238d62ad128998d885,0,todo
interface,0,apps/backend/app/agent_tools/philum.py,219,941b0d5831e74df25a93f18a96017c999747b61036f32f30dd0eb6362c147dd0,5,todo
interface,0,apps/backend/app/agent_tools/registry.py,98,d2a59e6b763deade82f678e450c40d147b90798f62a64eab976211c6fc3d2e89,5,todo
interface,0,apps/backend/app/agent_tools/tool.py,41,923704d7678a611f5cc47f95770a8e974bac763e3c9e385effa8df86cc93b1f9,2,todo
interface,0,apps/backend/app/agent_tools/web.py,184,cae6f63b3313b1f81ae524b4a16e204c9e15a8b9880125f7bc66b19df829a2a0,4,todo
perimetre,7,apps/backend/app/agent_workspace_seed/AGENTS.md,79,fedcca13a37c9d10f47e7ede3126a4750ab11dd909d6d62488fd91390e0f1821,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/CONTEXT.md,41,270e8d25a1cf8b3f80f16652eade2ba70effc44358cb94a13459dfedb203f50a,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/_core/audit/audit_fiche.py,214,a17dacb856ba9866bd71db436e66e6eb43c1744fa34d64b9a46d9c60a26aa428,7,todo
perimetre,7,apps/backend/app/agent_workspace_seed/_core/templates/brief.md,40,9c8b8a41c08e77d1eabd59dbf7658473e5a02acfec6edc941d5795fc08be325a,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/_core/templates/extrait.md,18,38c6e771d498b9cca49f0cc1067d30dcbba6f927c535f8ad72abbca725984791,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/_core/templates/source.md,25,3ff2b975bb7efa8c8179c84994d1f17bdbe07b454b8b4ab7178968512005cdd7,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/agents/CONTEXT.md,50,23c2699ee66e9f77f0a34bb94544cc06cda1aa986a763d50aaf1b62f6b1094a3,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/agents/assistant.yaml,54,ccc3e5bc1ef80a332ffd182e936b7b6c458354bebb42c59d6c9f64080a36d65c,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/agents/bibliographe.yaml,32,8b4d2da84ee4942858be1bea9f96ff2ce908653afb672a91ed0abdc0fc0b27bf,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/agents/extracteur.yaml,37,effda9fb3c371b65857122e760cc899e8a0c67b234fb77b4bbb4e84ae2c5c1c1,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/agents/publicateur.yaml,25,572ec00bbd61cabb6c7c0fc76951aa52a16ea716087ae968b6d362f8ccd37b83,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/agents/rechercheur.yaml,28,02ec5d1e53c4e0bfa2ce21c6337051cc32e06f343f98785dbd51dbd982d70d36,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/agents/redacteur.yaml,32,1f12d2065b26d633170f6732564d6f29558c2f6af5c7165b2c2e273e2f4696f9,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/agents/relecteur.yaml,30,7a525958a45cec5b20933c4dc9d8ec53bf5077da9a28ab64bc726438f87e7215,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/shared/garde-fous.md,57,21b60c93ebd2697e0d468ca41074745ec83d4993db54516b19320499fd2fe03b,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/shared/philum-mcp.md,101,cf999119590e512780eea310b224866c8a1ff6117ee52cee53188babe882284f,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/shared/pieges-vecus.md,127,fb13862d3b7df692347f0f8359ca9c6f928cb407b2f1f162e3b3914abbffeda7,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/shared/principes-editoriaux.md,71,c3dce83b5b4462293098a12145102d8dbe6d608ca6083fcc681756e5002c702d,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/shared/style-redactionnel.md,55,61729684dee193ee4318f90e4d1ad12434898ea2ccf58a7e2b130ea60ee4e441,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/stages/01-brief/CONTEXT.md,50,688ee3f824b6a1bbd384548202e3ac6f0bee8e2d8363c6caa4725fd56589e3ee,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/stages/02-sources-collectees/CONTEXT.md,57,e7b14a818a8e5da985979c75453cbefe1c3afa7d66037c017036f2bad40f4870,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/stages/03-annotations/CONTEXT.md,49,fc69f2a3e9b51323320375524e63d7d52637730a13dcca440c5c8f2640ee740b,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/stages/04-extraits/CONTEXT.md,56,f8ebb16f153343e9ce85ade9caf0236b55c927cf8dbaed5e5ed0e5857fb6702b,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/stages/04-extraits/references/verification-doi.md,41,0e15ee7229b716583acea41404b2f5297fabcb6abb61a83be56a5cd1829242e1,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/stages/05-connexions/CONTEXT.md,50,d34d1545b608dd4d3b27d486b8e81a924a52e40e972268feac3486be66313be6,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/stages/06-relecture/CONTEXT.md,57,bd5b9cd19e1205420e6d6d2db9fb7e98ea8eaf27cae5450b2082f0d6be71b685,-1,todo
perimetre,7,apps/backend/app/agent_workspace_seed/stages/07-publication/CONTEXT.md,54,ab81e76eaa898cac8f7c919612589fb748ab5c735f0c93f5b41991ea52f2fc6c,-1,todo
perimetre,4,apps/backend/app/api/v1/endpoints/agent_chat.py,404,c7c1e303b9fa701ad92669aa731b043e685cc8754ada3835b049a9a4be601613,5,verifie
perimetre,4,apps/backend/app/api/v1/endpoints/agent_definitions.py,68,24280658ff0be00635822727d96affd4bcf2544b0c1e5d2f59ef6fb437c31b40,3,verifie
perimetre,4,apps/backend/app/api/v1/endpoints/agent_fiche.py,144,75ec25674c3e4a041685f7000f79c8b03d5a62fd458f4c6c72affd274ce032cc,4,verifie
perimetre,4,apps/backend/app/api/v1/endpoints/agent_mode_gratuit.py,108,40ecf4fe0c734daff5df6191153fc3fbd2e3131f48e7fe0648a5716b981952fa,8,verifie
perimetre,4,apps/backend/app/api/v1/endpoints/agent_providers.py,189,b4c0de66d9545cccb243855748ddbe22a0db329dffaa20c7a36aa1af87c7ed2a,9,verifie
perimetre,4,apps/backend/app/api/v1/endpoints/agent_sessions.py,163,6bfdd705d2563b1c570411493234399eccca54a56e96343dff182b157e4d17e2,8,verifie
perimetre,4,apps/backend/app/api/v1/endpoints/agent_workspace.py,120,4683db257c270d886391e00bb08cc62e95fe94fd3ce82663ed529e111986fba7,6,verifie
perimetre,1,apps/backend/app/core/config.py,168,74e111d9b11cc1e2b09aee2e120fc75f8c6f77b317608309ccf392e24b080e81,2,verifie
interface,0,apps/backend/app/core/rate_limit.py,4,90968233198956874a2ce971beccb2dba0d4a1b27063b3ce9b4be02b01bb7a9e,0,todo
interface,0,apps/backend/app/core/url_safety.py,138,01c99ac27fb14df0edd9b5f35dfbff47ef6b05dd052b8fc180bdfc191f0a4d3f,4,todo
interface,0,apps/backend/app/crypto/hashing.py,13,a972124d593c6bb7b274ed53e09dd092c0ed1ddea019a94cd274d91d7b983f12,1,todo
interface,0,apps/backend/app/crypto/keygen.py,51,8f7992959616831d231b00dccc067f0d509755f2753fca10b2563d9ddfc0e135,1,todo
interface,0,apps/backend/app/db/database.py,57,552b95e109c835f19e16f5d49499d2df5ec5b8f78160d62725b80f65b3e18807,4,todo
interface,0,apps/backend/app/extractors/url_extractor.py,1082,7cfb16aeac5f84632f0b2067d0c7e137dcf47ea7a81caf68b5b3f43adfacbefa,29,todo
interface,0,apps/backend/app/main.py,429,5c282e46a203c4aa19b8785f2b1b800d6dd9fed440f6f036cc693bb1870131a9,15,todo
perimetre,3,apps/backend/app/mcp_server/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,verifie
perimetre,3,apps/backend/app/mcp_server/auth.py,102,45deacee73bd70930345cfab3cacd2b0831bde10615f8ee9f8fb1da0fc70ce2e,5,verifie
perimetre,3,apps/backend/app/mcp_server/schema_compat.py,39,cefa864b183973fd161b8044bfa4de06de918609a9e44fa8565ecfd4c2635303,1,verifie
perimetre,3,apps/backend/app/mcp_server/server.py,758,a43760bc4d8e4067e777edaba1df23569d358a6643f0aed832bfb61a3a21bb62,45,verifie
perimetre,3,apps/backend/app/mcp_server/tools.py,258,26f3e288a813fdb14d78deac96aa203b8449af5380a6906cb4775722ed5d090c,5,verifie
perimetre,3,apps/backend/app/mcp_server/tools_write.py,1876,dfcf2f950f8a2b42c378eddcc30f6238d917ca210f19c71e341bfe1bacd726c3,45,verifie
perimetre,1,apps/backend/app/models/agent_discovery_quota.py,21,ca7b528f9c32a5d646a36eb7945e193fdb579839f2cceee0a0138e3a50ca3090,1,verifie
perimetre,1,apps/backend/app/models/agent_lane.py,66,44d104ea30a42a316290daabe54b7b2f2867d8dff6bb18aa41b59ac679a69d5c,3,verifie
perimetre,1,apps/backend/app/models/agent_provider.py,57,ee1c748604e7e34d954cb58cbf23cb2677c36d27c8a2d1d20f705d52eb5543e4,1,verifie
perimetre,1,apps/backend/app/models/agent_session.py,89,fd353a8993dbd60eb422fa475dae803cdc7146dd8f512a1676a8fa0f5f668f59,2,verifie
interface,0,apps/backend/app/models/biblio_card.py,154,117bdbfd23af9528d9060cbea5327af5d13734f738ef5822c2b5f0841bce68af,7,todo
interface,0,apps/backend/app/models/claim_request.py,22,bb4bf156b595ddab8d5cb9b534308c68df6100682e5241c5c10ab9fa438e9f4c,1,todo
interface,0,apps/backend/app/models/source.py,206,b4644e200c66f0bf72ccce636638103e8acd97c970bc03a9659a9b4a8b9274fa,8,todo
interface,0,apps/backend/app/models/source_excerpt.py,73,41c6af41746e6026ba8331cabffc026cd0e6949a3dec6af46a784845d7fa8c08,2,todo
interface,0,apps/backend/app/models/user.py,56,767a752406165693eecb556d79d0af86f35c9eca519dbacbb240578d13e6198b,1,todo
interface,0,apps/backend/app/models/workspace_file.py,58,30cd6fcba3062a869cb00607d9a518e43ce5728e1ea801fec64d3b783ed78a5f,1,todo
